team,season,state,next_state,count,adjustment_type,poss_per_game
ATL,2024-25,ATL OREB,OPP 3pt Made,5.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP OREB,5.0,3PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL OREB,5.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP 2pt Made,4.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL 2pt Made,3.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL Turnover,3.0,3PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP FT Made,3.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP 3pt Made,3.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP Turnover,3.0,3PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL Turnover,3.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP DREB,2.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL 3pt Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP FT Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP FT Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL DREB,2.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL 2pt Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL FT Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL 3pt Made,2.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL 2pt Made,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP OREB,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL Offense Start,1.0,3PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP OREB,1.0,3PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL FT Made,1.0,3PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL Turnover,1.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL DREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL OREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL Offense Start,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP 2pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP FT Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP OREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP Turnover,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL DREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL OREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL Offense Start,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL Turnover,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP 2pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP FT Made,0.0,3PT FG% +5%,98.8
